Industry type,Industry,ERA species ID,CAAB code,Scientific_name,Common_name,IUCN system,Number,subspecies,EPBC status,Seabird,Migratory listed,Marine listed,Cetacean listed,Bioregional_conservation_status,Type,Report_Table_Num,F Overall Risk,F Overall Risk table reference,Tentative final risk score,Tentative final risk score table reference,Risk Score,Potential_Impact,Potential_Impact_Significance,Consequence Score (1-6),Notes,EIA assessment,"Bookmark name in Tess' ""BASS STRAIT"" folder",Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,964,37010001,Isurus oxyrinchus,Shortfin mako,Marine,,,Listed,Not seabird,Listed,Not Listed for Marine,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,Low,Table 2.34,,,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,370,37010002,Isurus paucus,Longfin mako,Marine,,,Listed,Not seabird,Listed,Not Listed for Marine,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,Low,Table 2.34,,,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,315,37010003,Carcharodon carcharias,White shark,Marine,,,Vulnerable,Not seabird,Listed,Not Listed for Marine,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,Low,Table 2.34,,,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,972,37010004,Lamna nasus,Porbeagle,Marine,,,Listed,Not seabird,Listed,Not Listed for Marine,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,Low,Table 2.34,,,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,346,37011001,Cetorhinus maximus,Basking Shark,Marine,,,Listed,Not seabird,Listed,Not Listed for Marine,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,Low,Table 2.34,,,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,63,37041004,Mobula Birostris,(Giant) manta ray,Marine,,,Listed,Not seabird,Listed,Not Listed for Marine,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,Low,Table 2.34,,,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,1032,40040001,Thalassarche bulleri,Buller's albatross,Terrestrial/Marine,,,Vulnerable,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Low,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,1033,40040002,Thalassarche cauta,Shy albatross,Terrestrial/Marine,,,Endangered,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Low,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,1035,40040004,Thalassarche chrysostoma,Grey-headed albatross,Terrestrial/Marine,,,Endangered,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Low,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,753,40040005,Diomedea epomophora,Southern Royal albatross,Terrestrial/Marine,,,Vulnerable,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Medium,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,451,40040006,Diomedea exulans,Wandering albatross,Terrestrial/Marine,,,Vulnerable,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Medium,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,1085,40040007,Thalassarche melanophris,Black-browed albatross,Terrestrial/Marine,,,Vulnerable,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Low,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,1008,40040008,Phoebetria fusca,Sooty albatross,Terrestrial/Marine,,,Vulnerable,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Low,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,1009,40040009,Phoebetria palpebrata,Light-mantled albatross; Light- mantled Sooty albatross,Terrestrial/Marine,,,Listed,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Low,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,755,40040010,Diomedea antipodensis gibsoni,Gibson's albatross,Terrestrial/Marine,,,Vulnerable,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Medium,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,628,40040011,Diomedea antipodensis,Antipodean albatross,Terrestrial/Marine,,,Vulnerable,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Medium,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,799,40040012,Diomedea sanfordi,Northern Royal albatross,Terrestrial/Marine,,,Endangered,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Medium,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,1084,40040013,Thalassarche impavida,Campbell albatross,Terrestrial/Marine,,,Vulnerable,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Medium,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,1031,40040014,Thalassarche carteri,Indian yellow-nosed albatross,Terrestrial/Marine,,,Vulnerable,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Low,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,595,40041003,Daption capense,Cape petrel,Marine,,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Low,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,314,40041004,Fulmarus glacialoides,Southern fulmar,Terrestrial/Marine,,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Medium,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
